,Integer Rank,Name,Position,Team,DSA Impact Factor,gamesPlayed,points,scoringPoints,goals,onePointGoals,twoPointGoals,assists,shots,shotPct,shotsOnGoal,shotsOnGoalPct,twoPointShots,twoPointShotPct,twoPointShotsOnGoal,twoPointShotsOnGoalPct,turnovers,causedTurnovers,groundBalls,touches,totalPasses,faceoffPct,faceoffsWon,faceoffsLost,faceoffs,twoPointGoalsAgainst,numPenalties,pim,powerPlayGoals,powerPlayShots,powerPlayGoalsAgainst,shortHandedGoals,shortHandedShots,unassistedGoals,assistedGoals
130,131,Danny Logan,SSDM,Atlas,0.341,0.581,0.061,0.09,0.09,0.108,0.313,0.155,0.373,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.425,0.693,0.699,0.324,0.403,0.929,0.775,0.15,0.825,0.5,0.105,0.861,0.313,0.265,0.5,0.37,0.355,0.153,0.152
131,132,Levi Verch,D,Chaos,0.339,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.455,0.002,0.043,0.0,0.831,0.567,0.225,0.269,0.292,0.693,0.749,0.353,0.403,0.533,0.329,0.699,0.302,0.5,0.168,0.861,0.313,0.265,0.5,0.37,0.355,0.153,0.152
132,133,Nick Rowlett,FO,Chaos,0.335,0.184,0.061,0.09,0.09,0.108,0.313,0.155,0.455,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.425,0.693,0.726,0.09,0.091,0.957,0.955,0.021,0.97,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
133,134,Michael Lampert,A,Waterdogs,0.335,0.184,0.573,0.09,0.09,0.108,0.313,0.749,0.51,0.002,0.587,0.637,0.156,0.567,0.225,0.269,0.292,0.081,0.0,0.171,0.159,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
134,135,Alex Mazzone,LSM,Whipsnakes,0.332,0.382,0.061,0.09,0.09,0.108,0.313,0.155,0.373,0.002,0.043,0.0,0.763,0.567,0.225,0.269,0.993,0.693,0.551,0.071,0.104,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
135,136,Jack Posey,D,Chaos,0.33,0.581,0.573,0.09,0.09,0.108,0.313,0.749,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.425,0.827,0.551,0.182,0.241,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
136,137,Mikie Schlosser,M,Waterdogs,0.328,0.048,0.061,0.09,0.09,0.108,0.313,0.155,0.455,0.002,0.587,1.0,0.156,0.567,0.225,0.269,0.542,0.081,0.251,0.171,0.214,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
137,138,Chris Aslanian,M,Chaos,0.326,0.003,0.061,0.09,0.09,0.108,0.313,0.155,0.455,0.002,0.587,1.0,0.156,0.567,0.225,0.269,0.993,0.081,0.0,0.062,0.078,0.533,0.329,0.699,0.302,0.5,0.818,0.183,0.313,0.265,0.5,0.37,0.355,0.153,0.152
138,139,Max Krevsky,M,Atlas,0.326,0.382,0.061,0.09,0.09,0.108,0.313,0.155,0.51,0.002,0.508,0.359,0.156,0.567,0.225,0.269,0.292,0.693,0.358,0.254,0.267,0.533,0.329,0.237,0.731,0.5,0.168,0.861,0.313,0.265,0.5,0.37,0.355,0.153,0.152
139,140,BJ Farrare,SSDM,Redwoods,0.326,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.373,0.002,0.043,0.0,0.763,0.567,0.225,0.269,0.542,0.886,0.551,0.14,0.187,0.533,0.329,0.237,0.731,0.5,0.168,0.794,0.313,0.265,0.5,0.37,0.355,0.153,0.152
140,141,Brendan Lavelle,D,Archers,0.323,0.74,0.061,0.09,0.09,0.108,0.313,0.155,0.012,0.002,0.043,0.0,0.156,0.567,0.225,0.269,0.425,0.777,0.893,0.461,0.564,0.533,0.329,0.699,0.302,0.5,0.168,0.794,0.313,0.265,0.5,0.37,0.355,0.153,0.152
